timestamp,sensor,actuator
2026-08-30T14:04:29.038870,15,14
2026-08-30T14:04:29.241869,14,14
2026-08-30T14:04:29.444868,15,14
2026-08-30T14:04:29.647869,15,14
2026-08-30T14:04:29.850667,15,14
2026-08-30T14:04:30.053669,15,14
2026-08-30T14:04:30.256670,17,15
2026-08-30T14:04:30.459722,19,16
2026-08-30T14:04:30.662718,16,16
2026-08-30T14:04:30.865392,15,15
2026-08-30T14:04:31.069069,15,15
2026-08-30T14:04:31.271398,15,15
2026-08-30T14:04:31.474398,14,15
2026-08-30T14:04:31.677396,15,15
2026-08-30T14:04:31.880987,15,15
2026-08-30T14:04:32.083987,15,15
2026-08-30T14:04:32.286988,15,15
2026-08-30T14:04:32.489577,14,14
2026-08-30T14:04:32.692263,15,14
2026-08-30T14:04:32.895895,16,15
2026-08-30T14:04:33.098402,16,15
2026-08-30T14:04:33.301878,15,15
2026-08-30T14:04:33.504453,15,15
2026-08-30T14:04:33.707879,15,15
2026-08-30T14:04:33.911073,15,15
2026-08-30T14:04:34.114058,15,15
2026-08-30T14:04:34.316880,18,15
2026-08-30T14:04:34.519880,15,15
2026-08-30T14:04:34.722863,16,15
2026-08-30T14:04:34.925473,15,15
2026-08-30T14:04:35.128723,16,15
2026-08-30T14:04:35.332110,16,15
2026-08-30T14:04:35.534124,14,15
2026-08-30T14:04:35.736902,11,14
2026-08-30T14:04:35.940119,15,14
2026-08-30T14:04:36.142885,15,14
2026-08-30T14:04:36.345884,15,14
2026-08-30T14:04:36.549149,14,14
2026-08-30T14:04:36.752262,72,26
2026-08-30T14:04:36.955282,70,34
2026-08-30T14:04:37.159136,70,41
2026-08-30T14:04:37.361140,70,47
2026-08-30T14:04:37.563889,69,51
2026-08-30T14:04:37.767042,70,55
2026-08-30T14:04:37.970291,70,58
2026-08-30T14:04:38.173049,71,60
2026-08-30T14:04:38.375891,70,62
2026-08-30T14:04:38.579148,70,64
2026-08-30T14:04:38.782322,71,65
2026-08-30T14:04:38.984894,73,67
